,company name,skills,link
0,"
 Ivan Infotech Pvt. Ltd.
 
 ","

 rest  ,  python  ,  security  ,  debugging
  
",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
1,"
 east india securities ltd.
 
 ","
python  ,  hadoop  ,  machine learning
  
",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
2,"
 art technology and software india pvt ltd
 
 ","

 rest  ,  python  ,  database  ,  django  ,  api
  
",https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
3,"
 DREAMAJAX TECHNOLOGIES
 
 ","

 python  ,  django  ,  api  ,  sql  ,  nosql
  
",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
4,"
 xonier technologies pvt ltd
 
 ","

 python  ,  django  ,  testing tools  ,  debugging  ,  storage
  
",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
5,"
 INFINITY GROUP
 
 ","
python  ,  css  ,  django  ,  html  ,  bootstrap
  
",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
6,"
 InnOvator Web Solutions Pvt.Ltd.
 
 ","

 rest  ,  python  ,  django  ,  web developer  ,  mysql  ,  api
  
",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
7,"
 pearl global solutions
 
 ","
python  ,  database  ,  django  ,  team player  ,  sql
  
",https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
8,"
 AxisTechnolabs
 
 ","
python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery
  
",https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
9,"
 Sourcedesk Global Private Limited
 
 ","

 html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure
  
",https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
10,"
 glan management consultancy pvt. ltd.
 
 ","
python  ,  rdbms  ,  mysql  ,  cloud computing  ,  docker  ,  sql
  
",https://www.timesjobs.com/job-detail/python-developer-glan-management-consultancy-pvt-ltd-noida-greater-noida-5-to-8-yrs-jobid-2yjhPFea__SLASH__AJzpSvf__PLUS__uAgZw==&source=srp
11,"
 CONNECTING 2 WORK
 
 ","
python  ,  storage  ,  django  ,  testing tools  ,  debugging
  
",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
12,"
 innefu labs pvt. ltd.
 
 ","
python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling
  
",https://www.timesjobs.com/job-detail/python-developer-innefu-labs-pvt-ltd-delhi-delhi-ncr-4-to-5-yrs-jobid-FxKbGzMsPBFzpSvf__PLUS__uAgZw==&source=srp
13,"
 CANVERA TRADERS PRIVATE LIMITED
 
 ","
python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java
  
",https://www.timesjobs.com/job-detail/python-developer-canvera-traders-private-limited-bengaluru-bangalore-5-to-8-yrs-jobid-eyvQsuRYuMpzpSvf__PLUS__uAgZw==&source=srp
14,"
 Wing Global IT Services
 
 ","

 spring boot  ,  python  ,  java  ,  django  ,  jpa  ,  hibernate
  
",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__fePw2G3HHZzpSvf__PLUS__uAgZw==&source=srp
15,"
 AxisTechnolabs
 
 ","
python  ,  css  ,  user interaction  ,  bootstrap  ,  openerp  ,  database  ,  xml  ,  oops  ,  html
  
",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-UqL7KgAUov1zpSvf__PLUS__uAgZw==&source=srp
16,"
 NuageBiz.Tech
 
 ","
python  ,  mobile  ,  team player  ,  svn  ,  security  ,  git  ,  software engineering
  
",https://www.timesjobs.com/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-FzYRc8JWI0hzpSvf__PLUS__uAgZw==&source=srp
17,"
 WBC Software Lab
 
 ","

 python  ,  git  ,  rest api  ,  linux  ,  mobile  ,  mongodb  ,  docker
  
",https://www.timesjobs.com/job-detail/python-developer-wbc-software-lab-chennai-2-to-5-yrs-jobid-P78tL4SfAddzpSvf__PLUS__uAgZw==&source=srp
18,"
 AxisTechnolabs
 
 ","

 python  ,  django  ,  html5  ,  team player  ,  angularjs  ,  javascript
  
",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-1-to-4-yrs-jobid-jBHxIZqZMQxzpSvf__PLUS__uAgZw==&source=srp
19,"
 pegasus knowledge solutions india pvt ltd.
 
 ","

 python  ,  css  ,  django  ,  java  ,  html  ,  bootstrap  ,  api  ,  jquery  ,  sql
  
",https://www.timesjobs.com/job-detail/python-developer-pegasus-knowledge-solutions-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-XiCKMhU2A29zpSvf__PLUS__uAgZw==&source=srp
20,"
 Techasoft Pvt Ltd
 
 ","
python  ,  javascript  ,  docker  ,  django  ,  postgresql  ,  oops  ,  mysql  ,  mongodb  ,  opencv
  
",https://www.timesjobs.com/job-detail/python-developer-techasoft-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-Zn8__SLASH__9rCyRjNzpSvf__PLUS__uAgZw==&source=srp
21,"
 gammastack indore
 
 ","
python  ,  database  ,  django  ,  rest api  ,  oops  ,  machine learning  ,  artificial intelligence
  
",https://www.timesjobs.com/job-detail/python-developer-gammastack-indore-indore-0-to-3-yrs-jobid-k5C0GmkyZ8JzpSvf__PLUS__uAgZw==&source=srp
22,"
 Fluper Limited
 
 ","

 c#  ,  python  ,  virtual reality  ,  mobile  ,  augmented reality  ,  opencv
  
",https://www.timesjobs.com/job-detail/python-developer-fluper-limited-noida-greater-noida-2-to-7-yrs-jobid-ETCeznAalQBzpSvf__PLUS__uAgZw==&source=srp
